year,announcement,show,best_picture_noms,nielsen
2016,1/24/2017,2/26/2017,9,32.9
2015,1/14/2016,2/28/2016,8,34.4
2014,1/15/2015,2/22/2015,8,37.3
2013,1/16/2014,3/2/2014,9,43.7
2012,1/10/2013,2/24/2013,9,40.4
2011,1/24/2012,2/26/2012,9,39.5
2010,1/25/2011,2/27/2011,10,37.9
2009,2/2/2010,3/7/2010,10,41.6
2008,1/22/2009,2/22/2009,5,36.9
2007,1/22/2008,2/24/2008,5,32
2006,1/23/2007,2/25/2007,5,39.9
2005,1/31/2006,3/5/2006,5,38.9
2004,1/25/2005,2/27/2005,5,42.1
2003,1/27/2004,2/29/2004,5,43.6
2002,2/11/2003,3/23/2003,5,33
2001,2/12/2002,3/24/2002,5,41.8
2000,2/13/2001,3/25/2001,5,42.9
1999,2/15/2000,3/26/2000,5,46.5
1998,2/9/1999,3/21/1999,5,45.5
1997,2/10/1998,3/23/1998,5,57.3
1996,2/11/1997,3/24/1997,5,40
1995,2/13/1996,3/25/1996,5,44.8
1994,2/14/1995,3/27/1995,5,48.3
1993,2/9/1994,3/21/1994,5,46.3
1992,2/17/1993,3/29/1993,5,45.7
1991,2/19/1992,3/30/1992,5,44.4
1990,2/13/1991,3/25/1991,5,42.7
